Competition,Matchday,Date,Time,Home Team,Ranking Home Team,Away Team,Ranking Away Team,Attendance,Result,Weather,Temperature (°C)
Jupiler Pro League,6,Fri 26/08/22,8:45 PM,R Charleroi SC,(6.),Club Brugge,(4.),8.924,1:3,Partly cloudy,20.3
Jupiler Pro League,7,Fri 02/09/22,8:45 PM,Club Brugge,(3.),Cercle Brugge,(15.),23.243,4:0,Partly cloudy,24.2
UEFA Champions League,Group B,Wed 07/09/22,9:00 PM,Club Brugge,,Leverkusen,,21.235,1:0,Drizzle,18.4
Jupiler Pro League,8,Sat 10/09/22,6:15 PM,RFC Seraing,(16.),Club Brugge,(3.),3.000,0:2,None,None
UEFA Champions League,Group B,Tue 13/09/22,9:00 PM,Porto,,Club Brugge,,39.225,0:4,None,None
Jupiler Pro League,9,Sun 18/09/22,6:30 PM,Standard Liège,(7.),Club Brugge,(2.),25.893,3:0,Drizzle,12.0
Jupiler Pro League,10,Sat 01/10/22,8:45 PM,Club Brugge,(3.),KV Mechelen,(12.),20.076,3:0,Clear or mostly clear,14.3
UEFA Champions League,Group B,Tue 04/10/22,9:00 PM,Club Brugge,,Atlético,,25.667,2:0,Partly cloudy,14.8
Jupiler Pro League,11,Sat 08/10/22,8:45 PM,Club Brugge,(3.),KVC Westerlo,(8.),19.261,0:2,Clear or mostly clear,10.7
UEFA Champions League,Group B,Wed 12/10/22,6:45 PM,Atlético,,Club Brugge,,60.810,0:0,None,None
Jupiler Pro League,12,Sun 16/10/22,6:30 PM,RSC Anderlecht,(9.),Club Brugge,(3.),21.000,0:1,Partly cloudy,16.7
Jupiler Pro League,13,Wed 19/10/22,8:45 PM,Club Brugge,(3.),Sint-Truiden,(10.),16.381,3:0,Partly cloudy,14.2
Jupiler Pro League,14,Sat 22/10/22,8:45 PM,Union SG,(4.),Club Brugge,(3.),7.184,2:2,Partly cloudy,15.1
UEFA Champions League,Group B,Wed 26/10/22,6:45 PM,Club Brugge,,Porto,,26.144,0:4,Partly cloudy,18.0
Jupiler Pro League,15,Sat 29/10/22,8:45 PM,Club Brugge,(3.),KV Oostende,(14.),19.469,4:2,Partly cloudy,19.5
UEFA Champions League,Group B,Tue 01/11/22,6:45 PM,Leverkusen,,Club Brugge,,30.210,0:0,None,None
Jupiler Pro League,16,Sun 06/11/22,1:30 PM,KAA Gent,(6.),Club Brugge,(3.),18.418,2:0,Rainy,10.3
Croky Cup,Sixth Round,Wed 09/11/22,8:45 PM,Patro Eisden,,Club Brugge,,,0:2AET,None,None
