Competition,Matchday,Time,Home Team,Ranking Home Team,Away Team,Ranking Away Team,Attendance,Weather,Temperature (°C),Date,Weekday,Month,Year,Season,quarter,Stadium,Max Capacity,City,Province,Full Roof,PercentageAttendance,GDP_Real_lagQ,CPI_QoQ_Growth_%_lagQ,Employment_Rate_%_lagQ,Home Team Goals Scored,Away Team Goals Scored,Match Type,Home Team Outcome,Away Team Outcome,Day,Goals Scored in Last 5 Games,Goals Conceded in Last 5 Games,Number of Wins in Last 5 Games
Jupiler Pro League,6,20.0,Zulte Waregem,10,Royal Antwerp,2,7411,Clear or mostly clear,16.7,2019-09-01,Sunday,9,2019,2019/2020,3,Regenboogstadion,12400.0,Waregem,WVL,0.0,0.5976612903225806,102579.3,0.3594028383608849,65.6,2,0,Normal Time,Win,Loss,1,13.0,11.0,3.0
Jupiler Pro League,6,18.0,RSC Anderlecht,14,Standard Liège,1,19500,Partly cloudy,19.2,2019-09-01,Sunday,9,2019,2019/2020,3,Lotto Park,22500.0,Anderlecht (Brussels),BRU,1.0,0.8666666666666667,102579.3,0.3594028383608849,65.6,1,0,Normal Time,Win,Loss,1,5.0,6.0,1.0
Jupiler Pro League,6,14.0,Club Brugge,3,Genk,6,27774,Clear or mostly clear,18.1,2019-09-01,Sunday,9,2019,2019/2020,3,Jan Breydel Stadion,29062.0,Bruges,VWV,0.0,0.9556809579519647,102579.3,0.3594028383608849,65.6,1,1,Normal Time,Draw,Draw,1,8.0,6.0,4.0
Jupiler Pro League,7,20.0,R Charleroi SC,10,Genk,7,9508,Drizzle,18.1,2019-09-13,Friday,9,2019,2019/2020,3,Stade du Pays de Charleroi,15000.0,Charleroi,WHT,0.0,0.6338666666666667,102579.3,0.3594028383608849,65.6,2,1,Normal Time,Win,Loss,13,11.0,4.0,4.0
Jupiler Pro League,7,20.0,Cercle Brugge,14,Club Brugge,3,12120,Partly cloudy,15.6,2019-09-14,Saturday,9,2019,2019/2020,3,Jan Breydel Stadion,29062.0,Bruges,VWV,0.0,0.4170394329364806,102579.3,0.3594028383608849,65.6,0,2,Normal Time,Loss,Win,14,5.0,18.0,0.0
Jupiler Pro League,7,20.0,Sint-Truiden,12,Waasland-Beveren,16,5465,Clear or mostly clear,15.6,2019-09-14,Saturday,9,2019,2019/2020,3,Stayen,14600.0,Sint-Truiden,LIM,1.0,0.37431506849315066,102579.3,0.3594028383608849,65.6,1,1,Normal Time,Draw,Draw,14,7.0,8.0,1.0
Jupiler Pro League,7,18.0,KAA Gent,6,KV Mechelen,4,16718,Clear or mostly clear,22.8,2019-09-15,Sunday,9,2019,2019/2020,3,Ghelamco Arena,20000.0,Ghent,VOV,1.0,0.8359,102579.3,0.3594028383608849,65.6,3,0,Normal Time,Win,Loss,15,10.0,7.0,3.0
Jupiler Pro League,7,14.0,RSC Anderlecht,13,Royal Antwerp,2,20000,Clear or mostly clear,22.4,2019-09-15,Sunday,9,2019,2019/2020,3,Lotto Park,22500.0,Anderlecht (Brussels),BRU,1.0,0.8888888888888888,102579.3,0.3594028383608849,65.6,1,2,Normal Time,Loss,Win,15,5.0,6.0,1.0
Jupiler Pro League,8,20.0,Royal Antwerp,2,Cercle Brugge,14,11398,Clear or mostly clear,21.5,2019-09-21,Saturday,9,2019,2019/2020,3,Bosuilstadion,16644.0,Antwerp,ANT,0.0,0.6848113434270608,102579.3,0.3594028383608849,65.6,3,1,Normal Time,Win,Loss,21,8.0,12.0,2.0
Jupiler Pro League,8,20.0,Genk,9,KV Oostende,10,18114,Clear or mostly clear,20.0,2019-09-21,Saturday,9,2019,2019/2020,3,Cegeka Arena,23500.0,Genk,LIM,1.0,0.7708085106382979,102579.3,0.3594028383608849,65.6,3,1,Normal Time,Win,Loss,21,8.0,4.0,2.0
Jupiler Pro League,8,18.0,R Charleroi SC,6,Sint-Truiden,12,7501,Clear or mostly clear,25.0,2019-09-21,Saturday,9,2019,2019/2020,3,Stade du Pays de Charleroi,15000.0,Charleroi,WHT,0.0,0.5000666666666667,102579.3,0.3594028383608849,65.6,0,3,Normal Time,Loss,Win,21,11.0,4.0,4.0
Jupiler Pro League,8,20.0,Zulte Waregem,8,KAA Gent,5,8237,Drizzle,15.9,2019-09-22,Sunday,9,2019,2019/2020,3,Regenboogstadion,12400.0,Waregem,WVL,0.0,0.6642741935483871,102579.3,0.3594028383608849,65.6,2,2,Normal Time,Draw,Draw,22,13.0,11.0,3.0
Jupiler Pro League,8,14.0,Standard Liège,1,KAS Eupen,15,18745,Partly cloudy,24.9,2019-09-22,Sunday,9,2019,2019/2020,3,Stade Maurice Dufrasne,27670.0,Liège,LIE,0.0,0.6774485001807011,102579.3,0.3594028383608849,65.6,3,0,Normal Time,Win,Loss,22,8.0,7.0,1.0
Jupiler Pro League,8,18.0,Club Brugge,3,RSC Anderlecht,13,26243,Drizzle,18.3,2019-09-22,Sunday,9,2019,2019/2020,3,Jan Breydel Stadion,29062.0,Bruges,VWV,0.0,0.9030004817287179,102579.3,0.3594028383608849,65.6,2,1,Normal Time,Win,Loss,22,8.0,6.0,4.0
Jupiler Pro League,9,20.0,KAA Gent,5,KV Kortrijk,12,14639,Partly cloudy,15.2,2019-09-28,Saturday,9,2019,2019/2020,3,Ghelamco Arena,20000.0,Ghent,VOV,1.0,0.73195,102579.3,0.3594028383608849,65.6,2,0,Normal Time,Win,Loss,28,10.0,7.0,3.0
Jupiler Pro League,9,20.0,Sint-Truiden,10,Genk,7,9125,Drizzle,15.0,2019-09-28,Saturday,9,2019,2019/2020,3,Stayen,14600.0,Sint-Truiden,LIM,1.0,0.625,102579.3,0.3594028383608849,65.6,3,3,Normal Time,Draw,Draw,28,7.0,8.0,1.0
Jupiler Pro League,9,20.0,Cercle Brugge,14,KAS Eupen,16,4215,Partly cloudy,15.1,2019-09-28,Saturday,9,2019,2019/2020,3,Jan Breydel Stadion,29062.0,Bruges,VWV,0.0,0.14503475328607804,102579.3,0.3594028383608849,65.6,1,2,Normal Time,Loss,Win,28,5.0,18.0,0.0
Jupiler Pro League,9,18.0,KV Mechelen,6,Club Brugge,3,15251,Clear or mostly clear,16.8,2019-09-28,Saturday,9,2019,2019/2020,3,AFAS Stadion,16500.0,Mechelen,ANT,0.0,0.9243030303030303,102579.3,0.3594028383608849,65.6,0,5,Normal Time,Loss,Win,28,5.0,5.0,0.0
Jupiler Pro League,9,18.0,Standard Liège,1,R Charleroi SC,8,22667,Drizzle,17.6,2019-09-29,Sunday,9,2019,2019/2020,3,Stade Maurice Dufrasne,27670.0,Liège,LIE,0.0,0.8191904589808456,102579.3,0.3594028383608849,65.6,1,1,Normal Time,Draw,Draw,29,8.0,7.0,1.0
Jupiler Pro League,9,14.0,RSC Anderlecht,13,Waasland-Beveren,15,18716,Partly cloudy,16.2,2019-09-29,Sunday,9,2019,2019/2020,3,Lotto Park,22500.0,Anderlecht (Brussels),BRU,1.0,0.8318222222222222,102579.3,0.3594028383608849,65.6,0,0,Normal Time,Draw,Draw,29,5.0,6.0,1.0
Jupiler Pro League,10,20.0,R Charleroi SC,8,RSC Anderlecht,13,13332,Drizzle,12.6,2019-10-04,Friday,10,2019,2019/2020,4,Stade du Pays de Charleroi,15000.0,Charleroi,WHT,0.0,0.8888,103388.7,-0.113250283125716,65.8,1,2,Normal Time,Loss,Win,4,11.0,4.0,4.0
Jupiler Pro League,10,20.0,Zulte Waregem,9,Cercle Brugge,16,7535,Partly cloudy,11.5,2019-10-05,Saturday,10,2019,2019/2020,4,Regenboogstadion,12400.0,Waregem,WVL,0.0,0.6076612903225806,103388.7,-0.113250283125716,65.8,6,0,Normal Time,Win,Loss,5,13.0,11.0,3.0
Jupiler Pro League,10,14.0,Club Brugge,1,KAA Gent,4,24382,Drizzle,15.0,2019-10-06,Sunday,10,2019,2019/2020,4,Jan Breydel Stadion,29062.0,Bruges,VWV,0.0,0.8389649714403689,103388.7,-0.113250283125716,65.8,4,0,Normal Time,Win,Loss,6,8.0,6.0,4.0
Jupiler Pro League,10,18.0,Royal Antwerp,3,Standard Liège,2,12978,Partly cloudy,13.7,2019-10-06,Sunday,10,2019,2019/2020,4,Bosuilstadion,16644.0,Antwerp,ANT,0.0,0.7797404470079308,103388.7,-0.113250283125716,65.8,2,2,Normal Time,Draw,Draw,6,8.0,12.0,2.0
Jupiler Pro League,10,20.0,Genk,6,Mouscron,5,17834,Drizzle,11.6,2019-10-06,Sunday,10,2019,2019/2020,4,Cegeka Arena,23500.0,Genk,LIM,1.0,0.7588936170212766,103388.7,-0.113250283125716,65.8,2,1,Normal Time,Win,Loss,6,8.0,4.0,2.0
Jupiler Pro League,11,20.0,KAA Gent,4,Waasland-Beveren,14,15964,Partly cloudy,11.6,2019-10-19,Saturday,10,2019,2019/2020,4,Ghelamco Arena,20000.0,Ghent,VOV,1.0,0.7982,103388.7,-0.113250283125716,65.8,2,0,Normal Time,Win,Loss,19,16.0,3.0,5.0
Jupiler Pro League,11,18.0,Standard Liège,2,Genk,5,26876,Partly cloudy,12.5,2019-10-19,Saturday,10,2019,2019/2020,4,Stade Maurice Dufrasne,27670.0,Liège,LIE,0.0,0.971304662088905,103388.7,-0.113250283125716,65.8,1,0,Normal Time,Win,Loss,19,14.0,3.0,4.0
Jupiler Pro League,11,14.0,KV Mechelen,6,Royal Antwerp,3,15201,Rainy,12.4,2019-10-20,Sunday,10,2019,2019/2020,4,AFAS Stadion,16500.0,Mechelen,ANT,0.0,0.9212727272727272,103388.7,-0.113250283125716,65.8,3,1,Normal Time,Win,Loss,20,5.0,5.0,0.0
Jupiler Pro League,11,20.0,Cercle Brugge,16,R Charleroi SC,9,2996,Partly cloudy,12.3,2019-10-20,Sunday,10,2019,2019/2020,4,Jan Breydel Stadion,29062.0,Bruges,VWV,0.0,0.10308994563347326,103388.7,-0.113250283125716,65.8,0,3,Normal Time,Loss,Win,20,3.0,9.0,1.0
Jupiler Pro League,11,18.0,RSC Anderlecht,13,Sint-Truiden,10,18949,Partly cloudy,12.1,2019-10-20,Sunday,10,2019,2019/2020,4,Lotto Park,22500.0,Anderlecht (Brussels),BRU,1.0,0.8421777777777778,103388.7,-0.113250283125716,65.8,4,1,Normal Time,Win,Loss,20,3.0,4.0,1.0
Jupiler Pro League,12,20.0,Royal Antwerp,4,KV Kortrijk,10,11426,Partly cloudy,17.8,2019-10-26,Saturday,10,2019,2019/2020,4,Bosuilstadion,16644.0,Antwerp,ANT,0.0,0.6864936313386205,103388.7,-0.113250283125716,65.8,3,1,Normal Time,Win,Loss,26,8.0,12.0,2.0
Jupiler Pro League,12,20.0,Genk,6,Cercle Brugge,16,16745,Partly cloudy,16.5,2019-10-26,Saturday,10,2019,2019/2020,4,Cegeka Arena,23500.0,Genk,LIM,1.0,0.7125531914893617,103388.7,-0.113250283125716,65.8,1,0,Normal Time,Win,Loss,26,8.0,5.0,4.0
Jupiler Pro League,12,18.0,R Charleroi SC,8,Mouscron,9,9026,Partly cloudy,16.9,2019-10-26,Saturday,10,2019,2019/2020,4,Stade du Pays de Charleroi,15000.0,Charleroi,WHT,0.0,0.6017333333333333,103388.7,-0.113250283125716,65.8,1,0,Normal Time,Win,Loss,26,6.0,8.0,2.0
Jupiler Pro League,12,20.0,Zulte Waregem,7,KV Oostende,13,7951,Partly cloudy,19.1,2019-10-26,Saturday,10,2019,2019/2020,4,Regenboogstadion,12400.0,Waregem,WVL,0.0,0.6412096774193549,103388.7,-0.113250283125716,65.8,2,0,Normal Time,Win,Loss,26,13.0,5.0,3.0
Jupiler Pro League,12,18.0,Sint-Truiden,12,KAA Gent,3,6000,Clear or mostly clear,10.6,2019-10-27,Sunday,10,2019,2019/2020,4,Stayen,14600.0,Sint-Truiden,LIM,1.0,0.410958904109589,103388.7,-0.113250283125716,65.8,0,0,Normal Time,Draw,Draw,27,6.0,6.0,1.0
Jupiler Pro League,12,14.0,Club Brugge,1,Standard Liège,2,25400,Partly cloudy,11.4,2019-10-27,Sunday,10,2019,2019/2020,4,Jan Breydel Stadion,29062.0,Bruges,VWV,0.0,0.8739935310715023,103388.7,-0.113250283125716,65.8,1,1,Normal Time,Draw,Draw,27,13.0,2.0,3.0
Jupiler Pro League,13,20.0,Cercle Brugge,16,Mouscron,9,3000,Clear or mostly clear,7.4,2019-10-29,Tuesday,10,2019,2019/2020,4,Jan Breydel Stadion,29062.0,Bruges,VWV,0.0,0.10322758241001996,103388.7,-0.113250283125716,65.8,2,2,Normal Time,Draw,Draw,29,3.0,10.0,1.0
Jupiler Pro League,13,20.0,Genk,6,Royal Antwerp,3,18974,Clear or mostly clear,5.1,2019-10-30,Wednesday,10,2019,2019/2020,4,Cegeka Arena,23500.0,Genk,LIM,1.0,0.807404255319149,103388.7,-0.113250283125716,65.8,2,2,Normal Time,Draw,Draw,30,7.0,4.0,4.0
Jupiler Pro League,13,20.0,Standard Liège,2,Waasland-Beveren,15,25536,Partly cloudy,4.9,2019-10-30,Wednesday,10,2019,2019/2020,4,Stade Maurice Dufrasne,27670.0,Liège,LIE,0.0,0.9228767618359234,103388.7,-0.113250283125716,65.8,2,0,Normal Time,Win,Loss,30,11.0,3.0,4.0
Jupiler Pro League,13,20.0,KV Mechelen,4,Sint-Truiden,12,15627,Partly cloudy,5.6,2019-10-30,Wednesday,10,2019,2019/2020,4,AFAS Stadion,16500.0,Mechelen,ANT,0.0,0.9470909090909091,103388.7,-0.113250283125716,65.8,1,2,Normal Time,Loss,Win,30,11.0,10.0,3.0
Jupiler Pro League,13,20.0,Zulte Waregem,7,Club Brugge,1,11000,Partly cloudy,6.2,2019-10-30,Wednesday,10,2019,2019/2020,4,Regenboogstadion,12400.0,Waregem,WVL,0.0,0.8870967741935484,103388.7,-0.113250283125716,65.8,0,2,Normal Time,Loss,Win,30,15.0,3.0,4.0
